t1,t2,t3,t4,t5,t6,nearest metro station distance(in km),type of road,nearest police chowki,average dist from police chowki,number of police chowki,population density,rape,Acid attack,Assault on Women,Sexual Harassment,use of criminal force to women,Stalking,Other Assault on Women,sum,crm
1,0,0,0,0,0,1.2,major district road,2.5,5,6,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,5.1,district road,17.4,14,6,2292958,234,494,86,57,99,248,68,2305.64,332.01216
1,0,0,0,0,0,5.7,major district road,2.7,7,4,2292958,266,469,85,34,74,274,123,2428.5,349.704
1,0,0,0,0,0,0.27,major district road,2.6,14,3,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,2.4,major district road,0.393,14,2,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,8.2,expressway,4.6,15,4,2543243,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,13,major district road,13.3,4,2,1674714,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0.5,major district road,0.65,13,2,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,90.6,expressway,20.1,13,2,1674714,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,6.1,expressway,4.8,4,4,1674714,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0.141,major district road,45,9,6,2241624,237,492,171,46,47,224,50,2254.58,324.65952
1,0,0,0,0,0,0.157,flyover,4.2,6,6,2731929,280,595,150,39,0,406,665,4379.9,630.7056
1,0,0,0,0,0,9.2,major district road,18.2,8,5,2241624,237,492,171,46,47,224,50,2254.58,324.65952
1,0,0,0,0,0,1.2,major district road,0.7,4,2,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,0.7,major district road,1.5,3,3,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,3.5,major district road,1.1,11,3,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,1.6,major district road,2.5,12,3,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,3.2,major district road,14.8,4,5,2731929,280,595,150,39,0,406,665,4379.9,630.7056
1,0,0,0,0,0,1.1,major district road,4,9,4,3656539,165,404,109,23,61,208,51,1827.54,263.16576
1,0,0,0,0,0,2,district road,2.5,8,3,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,1.3,district road,2,7,6,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,0.202,district road,0.5,6,5,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,0.472,district road,0.792,8,4,2292958,234,494,86,57,99,248,68,2305.64,332.01216
1,0,0,0,0,0,0.047,district road,0.23,4,4,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,1.2,district road,1.4,6,2,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,2.1,Ring road,14.2,7,5,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,2.6,major district road,1.7,9,4,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,0.55,district road,0.4,7,3,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,1,major district road,1.6,9,5,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,0.786,major district road,40,13,4,2731929,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1.6,major district road,1.6,10,6,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,197,national highway,600,7,5,2731929,280,595,150,39,0,406,665,4379.9,630.7056
1,0,0,0,0,0,600,national highway,600,7,4,2731929,280,595,150,39,0,406,665,4379.9,630.7056
1,0,0,0,0,0,600,national highway,600,5,3,2292958,234,494,86,57,99,248,68,2305.64,332.01216
1,0,0,0,0,0,600,national highway,600,9,3,2292958,234,494,86,57,99,248,68,2305.64,332.01216
1,0,0,0,0,0,600,national highway,600,10,4,2292958,234,494,86,57,99,248,68,2305.64,332.01216
1,0,0,0,0,0,7.9,major district road,6.9,12,3,2731929,280,595,150,39,0,406,665,4379.9,630.7056
1,0,0,0,0,0,0.55,flyover,2.4,4,6,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,0.593,district road,5.9,6,3,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,0.05,flyover,1.2,9,6,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,1.9,major district road,2.9,15,2,3656539,165,404,109,23,61,208,51,1827.54,263.16576
1,0,0,0,0,0,15,major district road,10.8,10,2,887978,60,180,42,12,16,109,18,778.38,112.08672
1,0,0,0,0,0,1.4,district road,2.5,7,2,2543243,251,484,137,64,52,223,63,2279.76,328.28544
1,0,0,0,0,0,2.3,flyover,7.2,3,3,3656539,165,404,109,23,61,208,51,1827.54,263.16576
1,0,0,0,0,0,3.6,flyover,0.9,10,4,2543243,251,484,137,64,52,223,63,2279.76,328.28544
1,0,0,0,0,0,3.5,flyover,2.8,12,6,1709346,230,446,171,36,91,143,114,2255.94,324.85536
1,0,0,0,0,0,1.9,flyover,24.8,12,4,2543243,251,484,137,64,52,223,63,2279.76,328.28544
1,0,0,0,0,0,0.26,flyover,4,3,5,2543243,251,484,137,64,52,223,63,2279.76,328.28544
1,0,0,0,0,0,0.056,flyover,0.85,5,2,2543243,251,484,137,64,52,223,63,2279.76,328.28544
1,0,0,0,0,0,5.7,district road,5.6,8,5,2292958,234,494,86,57,99,248,68,2305.64,332.01216
1,0,0,0,0,0,1.9,district road,5.7,12,5,2292958,234,494,86,57,99,248,68,2305.64,332.01216
1,0,0,0,0,0,1,flyover,5.6,9,5,142004,20,56,25,1,14,15,18,277.26,39.92544
1,0,0,0,0,0,2,flyover,0.1,6,2,2292958,234,494,86,57,99,248,68,2305.64,332.01216
1,0,0,0,0,0,0.1,flyover,2.9,11,6,2292958,234,494,86,57,99,248,68,2305.64,332.01216
1,0,0,0,0,0,1,flyover,3,7,3,582320,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,major district road,4.8,6,5,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,2,major district road,1.8,4,2,2731929,280,595,150,39,0,406,665,4379.9,630.7056
1,0,0,0,0,0,0.294,major district road,1.3,14,3,2731929,280,595,150,39,0,406,665,4379.9,630.7056
1,0,0,0,0,0,2.2,flyover,2.6,5,6,2731929,280,595,150,39,0,406,665,4379.9,630.7056
1,0,0,0,0,0,0.568,major district road,2.9,14,6,2731929,280,595,150,39,0,406,665,4379.9,630.7056
1,0,0,0,0,0,3.2,flyover,5.2,10,3,2731929,280,595,150,39,0,406,665,4379.9,630.7056
1,0,0,0,0,0,1.3,district,5.2,6,5,2731929,280,595,150,39,0,406,665,4379.9,630.7056
1,0,0,0,0,0,0.75,district,0.3,13,4,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,1.2,district,0.7,14,6,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,1.1,district,1.5,9,6,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,1.3,district,2.2,9,2,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,1.7,district,1.5,6,3,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,1.3,major district road,5.7,6,3,142004,20,56,25,1,14,15,18,277.26,39.92544
1,0,0,0,0,0,1.5,major district road,1.6,4,2,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,0.35,district,2.5,10,3,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,0.623,major district road,1.1,12,4,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,2.5,major district road,0.7,4,5,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,2,major district road,0.6,14,6,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,0.134,major district road,0.7,14,6,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,2,district road,0.3,8,2,2731929,280,595,150,39,0,406,665,4379.9,630.7056
1,0,0,0,0,0,1,district road,0.3,13,3,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,0.35,district road,1.7,4,2,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,2.3,major district road,0.6,9,6,2292958,234,494,86,57,99,248,68,2305.64,332.01216
1,0,0,0,0,0,0.05,district road,0.5,6,6,3656539,165,404,109,23,61,208,51,1827.54,263.16576
1,0,0,0,0,0,4.6,major district road,31.1,8,3,1709346,230,446,171,36,91,143,114,2255.94,324.85536
1,0,0,0,0,0,1.3,district road,5.9,10,3,2292958,234,494,86,57,99,248,68,2305.64,332.01216
1,0,0,0,0,0,3.5,district road,2,4,2,2292958,234,494,86,57,99,248,68,2305.64,332.01216
1,0,0,0,0,0,1.5,district road,2,15,6,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,11,major distict road,0.4,8,5,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,0.6,major district road,0.5,4,2,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,1.1,district road,0.85,8,3,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,1.5,major district road,0.4,3,4,2731929,280,595,150,39,0,406,665,4379.9,630.7056
1,0,0,0,0,0,0.95,district road,0.3,12,4,582320,91,212,54,9,26,123,37,997.48,143.63712
